name,subnetip,brdcastip,mask
Trunk_SEE_TIM1,10.112.0.0,10.112.0.0,32
Trunk_FRN_AMI2,10.4.16.4,10.4.16.4,32
Trunk_FRS_ISS1,10.7.16.4,10.7.16.4,32
Trunk_FRS_LIM1,10.21.6.4,10.21.6.4,32
Trunk_FRS_LIM1_2,10.21.6.5,10.21.6.5,32
Trunk_HU_VES1,10.207.16.1,10.207.16.1,32
Trunk_DE_BIE3,10.204.16.11,10.204.16.11,32
Trunk_FRP_BAY1,10.6.18.4,10.6.18.4,32
Trunk_FRW_ANG1_NR79002,10.24.16.5,10.24.16.5,32
Trunk_PL_CZE1,10.213.30.14,10.213.30.14,32
Trunk_DE_BNE1,172.30.68.10,172.30.68.10,32
Trunk_ES_SAR1,10.247.30.17,10.247.30.17,32
Trunk_FRS_ARO1,10.65.0.0,10.65.0.0,32
Trunk_FRN_ETA1_2,10.29.48.5,10.29.48.5,32
Trunk_DE_FKT1,10.92.16.10,10.92.16.10,32
Trunk_FRS_LIS1_2,10.16.16.5,10.16.16.5,32
Trunk_IMP,10.75.4.30,10.75.4.30,32
Trunk_FRW_NOG1,10.39.16.4,10.39.16.4,32
Trunk_ES_GET1,10.221.0.0,10.221.0.0,32
Trunk_DE_BRH1,10.93.0.0,10.93.0.0,32
Trunk_FRW_CHA1,10.45.16.4,10.45.16.4,32
Trunk_CUC2,10.75.4.41,10.75.4.41,32
Trunk_RU_MOW1,10.225.16.254,10.225.16.254,32
Trunk_FRP_BAY1_2,10.6.18.5,10.6.18.5,32
Trunk2_DE_BIE3,10.204.16.10,10.204.16.10,32
Trunk_UK_RED1,10.226.30.240,10.226.30.240,32
Trunk_DE_RAT2,10.196.18.10,10.196.18.10,32
Trunk_UK_SWI1,10.134.16.4,10.134.16.4,32
Trunk_EG_CAI1_2,10.67.48.5,10.67.48.5,32
Trunk_FRS_SFL1,10.104.16.4,10.104.16.4,32
Trunk_FRW_CHA1_2,10.45.16.5,10.45.16.5,32
Trunk_FRP_CRE2_2,10.25.48.5,10.25.48.5,32
